VOLCANO	LOCATION	ELEV_M	LAT	LONG	ERUPTED	VNUM
Easter Island	Pacific-C	530	-27.12	-109.45	Holocene	1303-07-
Adams Seamount	Pacific-C	-59	-25.37	-129.27	Holocene	1303-071
Macdonald	Austral Is-C Pacific	-27	-28.98	-140.25	AD 1900-2005	1303-08-
Antipodes Island	Pacific-S	402	-49.68	178.77	Uncertain	1304-01-
Unnamed	Pacific-S	-1000	-53.9	-140.3	Uncertain	1304-02-
Unnamed	Pacific-S	0	-55.97	-143.17	Uncertain	1304-03-
Prieto, Cerro	México	223	32.42	-115.31	Uncertain	1401-00-
Pinacate	México	1200	31.77	-113.5	Holocene	1401-001
San Quintín Volc Field	México	260	30.47	-116	Uncertain	1401-002
San Luis, Isla	México	180	29.81	-114.38	Holocene	1401-003
Jaraguay Volc Field	México	960	29.33	-114.5	Holocene	1401-004
Coronado	México	440	29.08	-113.51	Holocene	1401-005
Guadalupe	México	1100	29.07	-118.28	Holocene	1401-006
San Borja Volc Field	México	1360	28.5	-113.75	Holocene	1401-007
Unnamed	México	0	28	-115	Uncertain	1401-008
Tortuga, Isla	México	210	27.39	-111.86	Holocene	1401-011
Comondú-La Purísima	México	780	26	-111.92	Uncertain	1401-012
Tres Vírgenes	México	1940	27.47	-112.59	Holocene	1401-01=
Socorro	México-Is	1050	18.78	-110.95	AD 1900-2005	1401-021
Durango Volc Field	México	2075	24.15	-104.45	Holocene	1401-022
Sangangüey	México	2340	21.45	-104.73	Holocene	1401-023
Bárcena	México-Is	332	19.3	-110.82	AD 1900-2005	1401-02=
Mascota Volc Field	México	2560	20.62	-104.83	Holocene	1401-031
Ceboruco	México	2280	21.13	-104.51	AD 0-1899	1401-03=
Colima	México	3850	19.51	-103.62	AD 1900-2005	1401-04=
Zitácuaro-Valle de Bravo	México	3500	19.4	-100.25	Holocene	1401-061
Jocotitlán	México	3900	19.72	-99.76	AD 0-1899	1401-062
Michoacán-Guanajuato	México	3860	19.48	-102.25	AD 1900-2005	1401-06=
Toluca, Nevado de	México	4680	19.11	-99.76	Holocene	1401-07-
Papayo	México	3600	19.31	-98.7	Holocene	1401-081
Iztaccíhuatl	México	5230	19.18	-98.64	Holocene	1401-082
Chichinautzin	México	3930	19.08	-99.13	AD 0-1899	1401-08=
Malinche, La	México	4503	19.23	-98.03	Holocene	1401-091
Serdán-Oriental	México	3485	19.27	-97.47	Holocene	1401-092
Humeros, Los	México	3150	19.68	-97.45	Uncertain	1401-093
Atlixcos, Los	México	800	19.81	-96.53	Holocene	1401-094
Naolinco Volc Field	México	2000	19.67	-96.75	Holocene	1401-095
Cofre de Perote	México	4282	19.49	-97.15	AD 0-1899	1401-096
Gloria, La	México	3500	19.33	-97.25	Holocene	1401-097
Cumbres,  Las	México	3940	19.15	-97.27	Holocene	1401-098
Popocatépetl	México	5426	19.02	-98.62	AD 1900-2005	1401-09=
Orizaba, Pico de	México	5675	19.03	-97.27	AD 0-1899	1401-10=
San Martín	México	1650	18.57	-95.17	AD 0-1899	1401-11=
Chichón, El	México	1150	17.36	-93.23	AD 1900-2005	1401-12=
Tacaná	México	4060	15.13	-92.11	AD 1900-2005	1401-13=
Tajumulco	Guatemala	4220	15.03	-91.9	Holocene	1402-02=
Santa María	Guatemala	3772	14.76	-91.55	AD 1900-2005	1402-03=
Almolonga	Guatemala	3197	14.82	-91.48	AD 0-1899	1402-04=
Santo Tomás	Guatemala	3542	14.71	-91.48	Uncertain	1402-05=
Atitlán	Guatemala	3535	14.58	-91.19	AD 0-1899	1402-06=
Tolimán	Guatemala	3158	14.61	-91.19	Holocene	1402-07=
Acatenango	Guatemala	3976	14.5	-90.88	AD 1900-2005	1402-08=
Fuego	Guatemala	3763	14.47	-90.88	AD 1900-2005	1402-09=
Agua	Guatemala	3760	14.46	-90.74	Holocene	1402-10=
Cuilapa-Barbarena	Guatemala	1454	14.33	-90.4	Holocene	1402-111
Pacaya	Guatemala	2552	14.38	-90.6	AD 1900-2005	1402-11=
Tecuamburro	Guatemala	1845	14.16	-90.41	Holocene	1402-12=
Moyuta	Guatemala	1662	14.03	-90.1	Holocene	1402-13-
Flores	Guatemala	1600	14.3	-90	Holocene	1402-14-
Tahual	Guatemala	1716	14.43	-89.9	Holocene	1402-141
Santiago, Cerro	Guatemala	1192	14.33	-89.87	Holocene	1402-15-
Suchitán	Guatemala	2042	14.4	-89.78	Holocene	1402-16-
Chingo	Guatemala	1775	14.12	-89.73	Holocene	1402-17-
Ixtepeque	Guatemala	1292	14.42	-89.68	Holocene	1402-18-
Ipala	Guatemala	1650	14.55	-89.63	Holocene	1402-19-
Chiquimula Volc Field	Guatemala	1192	14.83	-89.55	Holocene	1402-20-
Quezaltepeque	Guatemala	1200	14.65	-89.35	Holocene	1402-21-
San Diego	El Salvador	781	14.27	-89.48	Holocene	1403-001
Singüil, Cerro	El Salvador	957	14.05	-89.65	Holocene	1403-002
Apaneca Range	El Salvador	2036	13.89	-89.79	Holocene	1403-01=
Santa Ana	El Salvador	2381	13.85	-89.63	AD 1900-2005	1403-02=
Izalco	El Salvador	1950	13.81	-89.63	AD 1900-2005	1403-03=
Coatepeque Caldera	El Salvador	746	13.87	-89.55	Holocene	1403-041
Cinotepeque, Cerro	El Salvador	665	14.02	-89.25	Holocene	1403-051
Guazapa	El Salvador	1438	13.9	-89.12	Uncertain	1403-052
San Salvador	El Salvador	1893	13.73	-89.29	AD 1900-2005	1403-05=
Ilopango	El Salvador	450	13.67	-89.05	AD 0-1899	1403-06=
Apastepeque Field	El Salvador	700	13.72	-88.77	Holocene	1403-071
Taburete	El Salvador	1172	13.44	-88.53	Uncertain	1403-072
San Vicente	El Salvador	2182	13.6	-88.84	Holocene	1403-07=
Usulután	El Salvador	1449	13.42	-88.47	Holocene	1403-081
Tigre, El	El Salvador	1640	13.47	-88.43	Holocene	1403-082
Tecapa	El Salvador	1593	13.49	-88.5	Holocene	1403-08=
Chinameca	El Salvador	1228	13.48	-88.32	Holocene	1403-09=
Aramuaca, Laguna	El Salvador	181	13.43	-88.11	Holocene	1403-101
San Miguel	El Salvador	2130	13.43	-88.27	AD 1900-2005	1403-10=
Conchagua	El Salvador	1225	13.28	-87.85	Uncertain	1403-11=
Conchagüita	El Salvador	505	13.22	-87.77	AD 0-1899	1403-12=
Tigre, Isla el	Honduras	783	13.27	-87.63	Holocene	1403-13-
Zacate Grande, Isla	Honduras	640	13.33	-87.63	Holocene	1403-14-
Yojoa, Lake	Honduras	1090	14.98	-87.98	Holocene	1403-15-
Utila Island	Honduras	74	16.1	-86.9	Holocene	1403-16-
Cosigüina	Nicaragua	872	12.98	-87.57	AD 0-1899	1404-01=
San Cristóbal	Nicaragua	1745	12.7	-87	AD 1900-2005	1404-02=
Telica	Nicaragua	1061	12.6	-86.85	AD 1900-2005	1404-04=
Rota	Nicaragua	832	12.55	-86.75	Holocene	1404-06-
Negro, Cerro	Nicaragua	728	12.51	-86.7	AD 1900-2005	1404-07=
Pilas, Las	Nicaragua	1088	12.49	-86.69	AD 1900-2005	1404-08=
Apoyeque	Nicaragua	518	12.24	-86.34	Holocene	1404-091
Nejapa-Miraflores	Nicaragua	360	12.12	-86.32	Holocene	1404-092
Momotombo	Nicaragua	1297	12.42	-86.54	AD 1900-2005	1404-09=
Granada	Nicaragua	300	11.92	-85.98	Holocene	1404-101
Masaya	Nicaragua	635	11.98	-86.16	AD 1900-2005	1404-10=
Zapatera	Nicaragua	629	11.73	-85.82	Holocene	1404-111
Mombacho	Nicaragua	1344	11.83	-85.97	Holocene	1404-11=
Concepción	Nicaragua	1700	11.54	-85.62	AD 1900-2005	1404-12=
Maderas	Nicaragua	1394	11.45	-85.52	Holocene	1404-13-
Estelí	Nicaragua	899	13.17	-86.4	Uncertain	1404-131
Ciguatepe, Cerro el	Nicaragua	603	12.53	-86.14	Uncertain	1404-132
Lajas, Las	Nicaragua	926	12.3	-85.73	Uncertain	1404-133
Azul, Volcán	Nicaragua	201	12.53	-83.87	Holocene	1404-14-
Orosí	Costa Rica	1659	10.98	-85.47	Uncertain	1405-01=
Rincón de la Vieja	Costa Rica	1916	10.83	-85.32	AD 1900-2005	1405-02=
Tenorio	Costa Rica	1916	10.67	-85.02	Holocene	1405-031
Tilarán, Cerro	Costa Rica	634	10.45	-84.98	Uncertain	1405-032
Arenal	Costa Rica	1657	10.46	-84.7	AD 1900-2005	1405-033
Platanar	Costa Rica	2267	10.3	-84.37	Holocene	1405-034
Miravalles	Costa Rica	2028	10.75	-85.15	AD 1900-2005	1405-03=
Poás	Costa Rica	2708	10.2	-84.23	AD 1900-2005	1405-04=
Barva	Costa Rica	2906	10.14	-84.1	Holocene	1405-05=
Irazú	Costa Rica	3432	9.98	-83.85	AD 1900-2005	1405-06=
Turrialba	Costa Rica	3340	10.03	-83.77	AD 0-1899	1405-07=
Barú	Panamá	3474	8.81	-82.54	AD 0-1899	1406-01-
Yeguada, La	Panamá	1297	8.47	-80.82	AD 0-1899	1406-02-
Valle, El	Panamá	1185	8.58	-80.17	Uncertain	1406-03-
Bravo, Cerro	Colombia	4000	5.09	-75.3	AD 0-1899	1501-011
Santa Isabel	Colombia	4950	4.82	-75.37	Holocene	1501-021
Ruiz, Nevado del	Colombia	5321	4.9	-75.32	AD 1900-2005	1501-02=
Tolima, Nevado del	Colombia	5200	4.67	-75.33	AD 1900-2005	1501-03=
Machín	Colombia	2650	4.48	-75.4	AD 0-1899	1501-04=
Huila, Nevado del	Colombia	5365	2.92	-76.05	AD 0-1899	1501-05=
Sotará	Colombia	4400	2.12	-76.58	Holocene	1501-061
Petacas	Colombia	4054	1.57	-76.78	Uncertain	1501-062
Puracé	Colombia	4650	2.32	-76.4	AD 1900-2005	1501-06=
Doña Juana	Colombia	4150	1.47	-76.92	AD 1900-2005	1501-07=
Galeras	Colombia	4276	1.22	-77.37	AD 1900-2005	1501-08=
Azufral	Colombia	4070	1.08	-77.68	Holocene	1501-09=
Cumbal	Colombia	4764	0.98	-77.88	AD 1900-2005	1501-10=
Negro de Mayasquer, Cerro	Colombia	4445	0.83	-77.96	AD 1900-2005	1501-11=
Soche	Ecuador	3955	0.55	-77.58	Holocene	1502-001
Cuicocha	Ecuador	3246	0.31	-78.36	Holocene	1502-002
Mojanda	Ecuador	4263	0.13	-78.27	Uncertain	1502-003
Cayambe	Ecuador	5790	0.03	-77.99	AD 0-1899	1502-004
Pululagua	Ecuador	3356	0.04	-78.46	Holocene	1502-011
Reventador	Ecuador	3562	-0.08	-77.66	AD 1900-2005	1502-01=
Atacazo	Ecuador	4463	-0.35	-78.62	Holocene	1502-021
Chacana	Ecuador	4643	-0.38	-78.25	AD 0-1899	1502-022
Guagua Pichincha	Ecuador	4784	-0.17	-78.6	AD 1900-2005	1502-02=
Pan de Azúcar	Ecuador	3482	-0.43	-77.72	Holocene	1502-031
Antisana	Ecuador	5753	-0.48	-78.14	AD 0-1899	1502-03=
Illiniza	Ecuador	5248	-0.66	-78.71	Holocene	1502-041
Sumaco	Ecuador	3990	-0.54	-77.63	AD 0-1899	1502-04=
Cotopaxi	Ecuador	5911	-0.68	-78.44	AD 1900-2005	1502-05=
Quilotoa	Ecuador	3914	-0.85	-78.9	AD 0-1899	1502-06=
Chimborazo	Ecuador	6310	-1.46	-78.82	Holocene	1502-071
Tulabug	Ecuador	3336	-1.78	-78.61	Holocene	1502-081
Tungurahua	Ecuador	5023	-1.47	-78.44	AD 1900-2005	1502-08=
Sangay	Ecuador	5230	-2	-78.33	AD 1900-2005	1502-09=
Ecuador	Galápagos	790	-0.02	-91.55	Holocene	1503-011
Fernandina	Galápagos	1476	-0.37	-91.55	AD 1900-2005	1503-01=
Wolf	Galápagos	1710	0.02	-91.35	AD 1900-2005	1503-02=
Darwin	Galápagos	1330	-0.18	-91.28	AD 0-1899	1503-03=
Alcedo	Galápagos	1130	-0.43	-91.12	AD 1900-2005	1503-04=
Negra, Sierra	Galápagos	1490	-0.83	-91.17	AD 1900-2005	1503-05=
Azul, Cerro	Galápagos	1640	-0.9	-91.42	AD 1900-2005	1503-06=
Pinta	Galápagos	780	0.58	-90.75	AD 1900-2005	1503-07=
Genovesa	Galápagos	64	0.32	-89.96	Holocene	1503-081
Marchena	Galápagos	343	0.33	-90.47	AD 1900-2005	1503-08=
Santa Cruz	Galápagos	864	-0.62	-90.33	Holocene	1503-091
Santiago	Galápagos	920	-0.22	-90.77	AD 1900-2005	1503-09=
Floreana	Galápagos	640	-1.3	-90.45	Holocene	1503-10=
San Cristóbal	Galápagos	759	-0.88	-89.5	Holocene	1503-12-
Firura, Nevados	Perú	5498	-15.23	-72.63	Holocene	1504-00-
Coropuna	Perú	6377	-15.52	-72.65	Holocene	1504-001
Andahua Valley	Perú	4713	-15.42	-72.33	Holocene	1504-002
Sabancaya	Perú	5967	-15.78	-71.85	AD 1900-2005	1504-003
Quimsachata	Perú	3923	-14.2	-71.33	Holocene	1504-004
Chachani, Nevado	Perú	6057	-16.19	-71.53	Holocene	1504-005
Misti, El	Perú	5822	-16.29	-71.41	AD 0-1899	1504-01=
Ubinas	Perú	5672	-16.36	-70.9	AD 1900-2005	1504-02=
Ticsani	Perú	5408	-16.76	-70.6	Holocene	1504-031
Huaynaputina	Perú	4850	-16.61	-70.85	AD 0-1899	1504-03=
Tutupaca	Perú	5815	-17.03	-70.36	Holocene	1504-04=
Yucamane	Perú	5550	-17.18	-70.2	AD 1900-2005	1504-05-
Casiri, Nevados	Perú	5650	-17.47	-69.82	Holocene	1504-06-
Lexone	Chile-N	5340	-17.87	-69.48	Holocene	1505-011
Anallajsi, Nevado	Bolivia	5750	-17.92	-68.92	Uncertain	1505-012
Patilla Pata	Bolivia	5300	-18.05	-69.03	Uncertain	1505-013
Sajama, Nevado del	Bolivia	6542	-18.1	-68.88	Holocene	1505-014
Parinacota	Chile-N	6348	-18.17	-69.15	AD 0-1899	1505-015
Taapacá	Chile-N	5861	-18.08	-69.43	Uncertain	1505-016
Tacora	Chile-N	5980	-17.72	-69.77	Holocene	1505-01=
Acotango	Chile-N	6052	-18.37	-69.05	Holocene	1505-021
Macizo de Pacuni	Bolivia	5400	-18.32	-68.8	Uncertain	1505-022
Macizo de Larancagua	Bolivia	5520	-18.25	-68.53	Uncertain	1505-023
Colluma, Cerro	Bolivia	3876	-18.5	-68.07	Uncertain	1505-024
Sacabaya	Bolivia	4215	-18.62	-68.75	Holocene	1505-025
Arintica	Chile-N	5597	-18.73	-69.05	Uncertain	1505-026
Guallatiri	Chile-N	6071	-18.42	-69.17	AD 1900-2005	1505-02=
Cabaray	Chile-N	5860	-19.13	-68.68	Uncertain	1505-031
Tata Sabaya	Bolivia	5430	-19.13	-68.5	Holocene	1505-032
Puchuldiza	Chile-N	4500	-19.42	-68.97	Uncertain	1505-033
Piña, Cerro	Chile-N	4037	-19.49	-68.65	Uncertain	1505-034
Jayu Khota, Laguna	Bolivia	3650	-19.45	-67.42	Holocene	1505-035
Nuevo Mundo	Bolivia	5438	-19.78	-66.48	Holocene	1505-036
Isluga	Chile-N	5550	-19.15	-68.83	AD 1900-2005	1505-03=
Unnamed	Chile-N	4200	-20.83	-68.63	Uncertain	1505-041
Pampa Luxsar	Bolivia	5543	-20.85	-68.2	Holocene	1505-042
Irruputuncu	Chile-N	5163	-20.73	-68.55	AD 1900-2005	1505-04=
Aucanquilcha	Chile-N	6176	-21.22	-68.47	Uncertain	1505-051
San Agustín, Cerro	Bolivia	4980	-21.25	-67.75	Uncertain	1505-052
Olca-Paruma	Chile-N	5407	-20.93	-68.48	AD 0-1899	1505-05=
Yumia, Cerro	Bolivia	4050	-21.5	-67.5	Uncertain	1505-061
Escala	Bolivia	4000	-21.6	-66.88	Holocene	1505-062
Santa Isabel, Cerro	Bolivia	5100	-21.67	-66.5	Uncertain	1505-063
Moiro, Cerro	Bolivia	4250	-21.68	-67.47	Uncertain	1505-064
Azufre, Cerro del	Chile-N	5846	-21.78	-68.23	Holocene	1505-065
Ollagüe	Chile-N	5868	-21.3	-68.18	Uncertain	1505-06=
Paniri	Chile-N	5946	-22.08	-68.25	Uncertain	1505-071
Leon, Cerro del	Chile-N	5760	-22.18	-68.12	Uncertain	1505-072
Linzor	Chile-N	5680	-22.18	-67.95	Uncertain	1505-073
Jorcada	Chile-N	5750	-22.08	-67.77	Holocene	1505-074
Quetena	Bolivia	5730	-22.25	-67.42	Uncertain	1505-075
Uturuncu	Bolivia	6008	-22.27	-67.22	Uncertain	1505-076
San Pedro	Chile-N	6145	-21.88	-68.4	AD 1900-2005	1505-07=
Volcán, El	Chile-N	5100	-22.33	-67.97	Uncertain	1505-081
Tocorpuri, Cerros de	Chile-N	5808	-22.43	-67.92	Uncertain	1505-082
Tatio, El	Chile-N	4280	-22.35	-68.03	Uncertain	1505-08=
Sairecabur	Chile-N	5971	-22.73	-67.88	Holocene	1505-091
Licancabur	Chile-N	5916	-22.83	-67.88	Holocene	1505-092
Guayaques	Chile-N	5598	-22.88	-67.58	Holocene	1505-093
Purico Complex	Chile-N	5703	-23	-67.75	Holocene	1505-094
Colachi	Chile-N	5631	-23.23	-67.65	Holocene	1505-095
Verde, Laguna	Chile-N	5464	-23.25	-67.72	Uncertain	1505-096
Acamarachi	Chile-N	6046	-23.3	-67.62	Holocene	1505-097
Chiliques	Chile-N	5778	-23.58	-67.7	Holocene	1505-098
Putana	Chile-N	5890	-22.57	-67.87	AD 0-1899	1505-09=
Cordón de Puntas Negras	Chile-N	5852	-23.75	-67.53	Holocene	1505-101
Miñiques	Chile-N	5910	-23.82	-67.77	Holocene	1505-102
Tujle, Cerro	Chile-N	3550	-23.83	-67.95	Holocene	1505-103
Caichinque	Chile-N	4450	-23.95	-67.73	Holocene	1505-104
Tilocalar	Chile-N	3116	-23.97	-68.13	Uncertain	1505-105
Negrillar, El	Chile-N	3500	-24.18	-68.25	Uncertain	1505-106
Púlar	Chile-N	6233	-24.18	-68.05	Holocene	1505-107
Negrillar, La	Chile-N	4109	-24.28	-68.6	Uncertain	1505-108
Socompa	Chile-N	6051	-24.4	-68.25	Holocene	1505-109
Lascar	Chile-N	5592	-23.37	-67.73	AD 1900-2005	1505-10=
Escorial, Cerro	Chile-N	5447	-25.08	-68.37	Uncertain	1505-112
Llullaillaco	Chile-N	6739	-24.72	-68.53	AD 0-1899	1505-11=
Cordón del Azufre	Chile-N	5463	-25.33	-68.52	Holocene	1505-121
Bayo, Cerro	Chile-N	5401	-25.42	-68.58	Holocene	1505-122
Nevada, Sierra	Chile	6127	-26.48	-68.58	Holocene	1505-123
Falso Azufre	Chile-N	5890	-26.8	-68.37	Holocene	1505-124
Incahuasi, Nevado de	Chile-N	6621	-27.04	-68.28	Holocene	1505-125
Lastarria	Chile-N	5697	-25.17	-68.5	Holocene	1505-12=
Solo, El	Chile-N	6190	-27.12	-68.72	Holocene	1505-131
Ojos del Salado, Nevados	Chile-N	6887	-27.12	-68.55	AD 0-1899	1505-13=
Copiapó	Chile-N	6052	-27.3	-69.13	Uncertain	1505-14-
Tuzgle, Cerro	Argentina	5500	-24.05	-66.48	Uncertain	1505-15-
Aracar	Argentina	6082	-24.25	-67.77	AD 1900-2005	1505-16-
Unnamed	Argentina	0	-25.1	-68.27	Uncertain	1505-161
Antofalla	Argentina	6100	-25.53	-68	Holocene	1505-17-
Antofagasta de la Sierra	Argentina	4000	-26.08	-67.5	Holocene	1505-18-
Cóndor, Cerro el	Argentina	6532	-26.62	-68.35	Holocene	1505-19-
Peinado	Argentina	5740	-26.62	-68.15	Holocene	1505-20-
Robledo	Argentina	4400	-26.77	-67.72	Holocene	1505-21-
Tipas	Argentina	6660	-27.2	-68.55	Holocene	1505-22-
San Félix	Chile-Is	193	-26.28	-80.12	Holocene	1506-01=
Robinson Crusoe	Chile-Is	922	-33.66	-78.85	AD 0-1899	1506-02=
Unnamed	Chile-Is	-642	-33.62	-76.83	Uncertain	1506-04=
Tupungatito	Chile-C	6000	-33.4	-69.8	AD 1900-2005	1507-01=
Maipo	Chile-C	5264	-34.16	-69.83	AD 1900-2005	1507-021
Palomo	Chile-C	4860	-34.61	-70.3	Holocene	1507-022
Atuel, Caldera del	Argentina	5189	-34.65	-70.05	Holocene	1507-023
Risco Plateado	Argentina	4999	-34.93	-70	Uncertain	1507-024
San José	Chile-C	5856	-33.78	-69.9	AD 1900-2005	1507-02=
Tinguiririca	Chile-C	4280	-34.81	-70.35	AD 1900-2005	1507-03=
Calabozos	Chile-C	3508	-35.56	-70.5	Holocene	1507-042
Planchón-Peteroa	Chile-C	4107	-35.24	-70.57	AD 1900-2005	1507-04=
Descabezado Grande	Chile-C	3953	-35.58	-70.75	AD 1900-2005	1507-05=
Maule, Laguna del	Chile-C	3092	-36.02	-70.58	Holocene	1507-061
San Pedro-Pellado	Chile-C	3621	-35.99	-70.85	Holocene	1507-062
Longaví, Nevado de	Chile-C	3242	-36.19	-71.16	Holocene	1507-063
Blancas, Lomas	Chile-C	2268	-36.29	-71.01	Holocene	1507-064
Resago	Chile-C	1890	-36.45	-70.92	Holocene	1507-065
Payún Matru	Argentina	3680	-36.42	-69.2	Holocene	1507-066
Domuyo	Argentina	4709	-36.58	-70.42	Uncertain	1507-067
Azul, Cerro	Chile-C	3788	-35.65	-70.76	AD 1900-2005	1507-06=
Cochiquito Volc Group	Argentina	1435	-36.77	-69.82	Holocene	1507-071
Tromen	Argentina	3978	-37.14	-70.03	Holocene	1507-072
Puesto Cortaderas	Argentina	970	-37.55	-69.62	Holocene	1507-073
Chillán, Nevados de	Chile-C	3212	-36.86	-71.38	AD 1900-2005	1507-07=
Trocon	Argentina	0	-37.75	-69.88	Uncertain	1507-081
Antuco	Chile-C	2979	-37.41	-71.35	AD 0-1899	1507-08=
Callaqui	Chile-C	3164	-37.92	-71.45	AD 1900-2005	1507-091
Mariñaqui, Laguna	Chile-C	2050	-38.27	-71.1	Holocene	1507-092
Tolguaca	Chile-C	2806	-38.31	-71.65	Holocene	1507-093
Copahué	Chile-C	2997	-37.85	-71.17	AD 1900-2005	1507-09=
Chapulul, Cerro	Chile-C	2143	-38.37	-71.08	Holocene	1507-101
Nevada, Sierra	Chile-C	2554	-38.58	-71.58	Uncertain	1507-102
Lonquimay	Chile-C	2865	-38.38	-71.58	AD 1900-2005	1507-10=
Sollipulli	Chile-C	2282	-38.97	-71.52	AD 0-1899	1507-111
Caburgua-Huelemolle	Chile-C	1496	-39.25	-71.7	Holocene	1507-112
Llaima	Chile-C	3125	-38.69	-71.73	AD 1900-2005	1507-11=
Quetrupillan	Chile-C	2360	-39.5	-71.75	AD 0-1899	1507-121
Lanín	Chile-C	3747	-39.63	-71.5	Holocene	1507-122
Huanquihue Group	Argentina	1400	-39.87	-71.55	AD 0-1899	1507-123
Villarrica	Chile-C	2847	-39.42	-71.93	AD 1900-2005	1507-12=
Mocho-Choshuenco	Chile-C	2422	-39.93	-72.03	AD 1900-2005	1507-13=
Cordón Caulle	Chile-C	1798	-40.52	-72.2	AD 1900-2005	1507-141
Carrán-Los Venados	Chile-C	1114	-40.35	-72.07	AD 1900-2005	1507-14=
Mencheca	Chile-C	1840	-40.53	-72.04	Holocene	1507-151
Pantoja, Cerro	Chile-C	2020	-40.77	-71.98	Holocene	1507-152
Antillanca Group	Chile-C	1990	-40.77	-72.15	Holocene	1507-153
Puyehue	Chile-C	2236	-40.59	-72.12	Holocene	1507-15=
Puntiagudo-Cordón Cenizos	Chile-C	2493	-40.97	-72.26	AD 0-1899	1507-16-
Osorno	Chile-S	2652	-41.1	-72.49	AD 0-1899	1508-01=
Cayutué-La Viguería	Chile-S	506	-41.25	-72.27	Holocene	1508-021
Volcanico, Cerro	Argentina	1930	-41.28	-71.65	Uncertain	1508-022
Cuernos del Diablo	Chile-S	1862	-41.4	-72	Holocene	1508-023
Yate	Chile-S	2187	-41.75	-72.4	Holocene	1508-024
Hornopirén	Chile-S	1572	-41.87	-72.43	Holocene	1508-025
Hualiaque	Chile-S	1670	-41.88	-72.62	Holocene	1508-026
Calbuco	Chile-S	2003	-41.33	-72.61	AD 1900-2005	1508-02=
Huequi	Chile-S	1318	-42.38	-72.58	AD 1900-2005	1508-03=
Chaitén	Chile-S	1122	-42.83	-72.65	Holocene	1508-041
Minchinmávida	Chile-S	2404	-42.78	-72.43	AD 0-1899	1508-04=
Yanteles	Chile-S	2042	-43.5	-72.8	AD 0-1899	1508-051
Palena Volc Group	Chile-S	0	-43.78	-72.47	Holocene	1508-052
Melimoyu	Chile-S	2400	-44.08	-72.88	Holocene	1508-053
Puyuhuapi	Chile-S	524	-44.3	-72.53	Holocene	1508-054
Mentolat	Chile-S	1660	-44.67	-73.08	AD 0-1899	1508-055
Cay	Chile-S	2200	-45.05	-73	Holocene	1508-056
Maca	Chile-S	2960	-45.1	-73.2	Holocene	1508-057
Hudson, Cerro	Chile-S	1905	-45.9	-72.97	AD 1900-2005	1508-058
Corcovado	Chile-S	2300	-43.18	-72.8	AD 0-1899	1508-05=
Viedma	Argentina	1500	-49.36	-73.28	AD 1900-2005	1508-061
Aguilera	Chile-S	2546	-50.33	-73.75	Holocene	1508-062
Reclus	Chile-S	1000	-50.96	-73.58	AD 1900-2005	1508-063
Lautaro	Chile-S	3380	-49.02	-73.55	AD 1900-2005	1508-06=
Burney, Monte	Chile-S	1758	-52.33	-73.4	AD 1900-2005	1508-07=
Palei-Aike Volc Field	Chile-S	282	-52	-70	Holocene	1508-08-
Fueguino	Chile-S	150	-54.95	-70.27	AD 0-1899	1508-09-
Saba	W Indies	887	17.63	-63.23	AD 0-1899	1600-01=
Quill, The	W Indies	601	17.48	-62.95	AD 0-1899	1600-02=
Liamuiga	W Indies	1156	17.37	-62.8	AD 0-1899	1600-03=
Nevis Peak	W Indies	985	17.15	-62.58	Holocene	1600-04=
Soufrière Hills	W Indies	915	16.72	-62.18	AD 1900-2005	1600-05=
Soufrière Guadeloupe	W Indies	1467	16.05	-61.67	AD 1900-2005	1600-06=
Diables, Morne aux	W Indies	861	15.62	-61.45	Holocene	1600-08=
Diablotins, Morne	W Indies	1430	15.5	-61.42	Uncertain	1600-09=
Watt, Morne	W Indies	1224	15.3	-61.32	AD 1900-2005	1600-101
Trois Pitons, Morne	W Indies	1387	15.37	-61.33	AD 0-1899	1600-10=
Plat Pays, Morne	W Indies	940	15.22	-61.37	AD 0-1899	1600-11=
Pelée	W Indies	1397	14.82	-61.17	AD 1900-2005	1600-12=
Qualibou	W Indies	777	13.83	-61.05	AD 0-1899	1600-14=
Soufriere St. Vincent	W Indies	1220	13.33	-61.18	AD 1900-2005	1600-15=
Kick-'em-Jenny	W Indies	-182	12.3	-61.64	AD 1900-2005	1600-16=
St. Catherine	W Indies	840	12.15	-61.67	Holocene	1600-17=
Snaefellsjökull	Iceland-W	1448	64.8	-23.78	AD 0-1899	1700-01=
Lysuhóll	Iceland-W	540	64.87	-23.25	Holocene	1700-02=
Ljósufjöll	Iceland-W	988	64.87	-22.23	AD 0-1899	1700-03=
Reykjaneshryggur	Iceland-SW	80	63.67	-23.33	AD 1900-2005	1701-01=
Reykjanes	Iceland-SW	230	63.88	-22.5	AD 0-1899	1701-02=
Krísuvík	Iceland-SW	379	63.93	-22.1	AD 0-1899	1701-03=
Brennisteinsfjöll	Iceland-SW	626	63.92	-21.83	AD 0-1899	1701-04=
Hengill	Iceland-SW	803	64.18	-21.33	AD 0-1899	1701-05=
Grímsnes	Iceland-SW	214	64.03	-20.87	Holocene	1701-06=
Prestahnukur	Iceland-SW	1390	64.6	-20.58	Holocene	1701-07=
Langjökull	Iceland-SW	1360	64.75	-19.98	AD 0-1899	1701-08=
Hofsjökull	Iceland-SW	1782	64.78	-18.92	Holocene	1701-09=
Kerlingarfjöll	Iceland-SW	1488	64.63	-19.32	Holocene	1701-10=
